Longitude	Latitude
-143.108261667	31.10157
-141.059423333	26.9208483333
-140.86753	28.11384
-140.010446667	28.3980116667
-139.688666667	28.5156666667
-138.166536667	26.7182683333
-138.506838333	31.3367333333
-137.77662	28.266115
-130.962911667	21.9407666667
-128.156238333	21.76355
-126.4012	23.42748
-126.44	26.2733333333
-125.522761667	25.6331716667
-134.310696667	23.1944783333
-136.078861667	48.1849466667
-132.434501667	47.3422233333
-131.872828333	44.3355166667
-131.803333333	45.4383333333
-131.48455	45.3892116667
-131.046666667	38.6166666667
-130.731666667	37.525
-129.311666667	37.6066666667
-129.290806667	39.1988066667
-129.02059	39.2346616667
-129.756765	39.924265
-129.679945	39.2413766667
-129.284616667	42.6786333333
-128.780221667	37.98436
-128.142778333	38.6900783333
-127.006368333	38.0514633333
-126.534746667	37.9479533333
-126.647083333	37.9102133333
-126.43676	38.4392816667
-126.643126667	40.63607
-126.17	40.3716666667
-125.944928333	37.8104516667
-125.190203333	39.6198166667
-125.9544	39.8057
-125.293371667	39.66363
-125.378333333	39.69
-125.829376667	39.9505283333
-125.11765	40.5416666667
-125.843893333	40.7632566667
-125.011328333	40.791855
-125.07785	40.9701166667
-125.709728333	41.9437783333
-125.10853	41.1255866667
-125.005781667	41.3649216667
-125.736083333	41.778945
-125.29	42.9566666667
-125.076671667	42.0478716667
-143.551796667	34.60911
-142.215633333	36.08595
-140.48827	33.8309933333
-138.15	35.4866666667
-137.563316667	35.1591216667
-137.95629	37.2316583333
-154.989716667	32.6895166667
-151.289881667	32.64877
-149.291011667	35.913475
-149.018188333	36.590705
-148.941395	33.7037616667
-148.321321667	34.249915
-147.59415	36.4046
-145.581311667	32.7533883333
-145.716935	32.179
-145.356666667	33.7933333333
-144.058553333	34.96672
-144.058553333	34.96672
-144.058553333	34.96672
-143.867858333	35.70594
-143.816018333	36.8203933333
-143.09249	38.9525983333
-143.15335	41.4736166667
-142.706926667	41.0725
-141.635923333	40.9687716667
-141.658151667	40.894135
-141.564446667	42.610635
-139.98185	37.9548833333
-139.421933333	40.3734666667
-137.653275	38.8824033333
-137.814398333	40.7504216667
-137.821666667	41
-137.164965	37.0785
-136.360983333	33.6337333333
-136.609261667	35.93896
-136.086533333	36.1690833333
-135.254851667	32.680645
-135.152998333	33.9997583333
-134.921688333	33.7715966667
-134.335893333	35.9352583333
-131.691365	34.5244716667
-131.03315	35.2094166667
-130.903933333	33.1168333333
-130.999088333	37.3740483333
-129.973233333	35.4456333333
-128.388283333	32.58265
-128.898185	34.2025983333
-128.822918333	34.9229833333
-128.190285	37.098745
-127.055788333	33.6898366667
-127.894151667	34.3580533333
-127.023333333	35.4383333333
-127.938026667	36.9241866667
-126.721465	32.8331816667
-126.544356667	32.92891
-126.71517	33.219215
-126.02	34.6816666667
-126.205748333	34.9420166667
-126.261778333	34.9575566667
-126.278831667	35.15285
-126.980633333	35.0941166667
-125.191666667	32.6533333333
-125.4979	32.1885833333
-125.792598333	32.5754366667
-125.9176	33.6349166667
-125.310888333	35.6145666667
-125.041283333	36.5347933333
-143.52635	22.6530266667
-143.120793333	23.048805
-143.02674	26.2173183333
-142.236753333	24.86716
-142.37671	25.11764
-149.449221667	39.8194216667
-149.20865	41.2249266667
-148.377701667	38.3803833333
-148.307166667	40.9420333333
-148.034831667	40.7495516667
-148.711645	42.4714416667
-147.125985	40.9937733333
-147.15378	41.6793833333
-147.571466667	42.9572666667
-147.50285	42.9077666667
-146.246666667	37.775
-146.977608333	40.4733283333
-146.07302	42.533475
-145.927173333	40.277935
-145.658696667	42.218
-144.767718333	42.3237383333
-143.817833333	39.297
-143.671666667	41.7183333333
-149.482981667	48.26546
-146.541203333	43.3852633333
-145.337876667	44.769785
-144.135	44.1866666667
-143.938333333	44.3133333333
-155.703586667	29.9343616667
-154.21802	28.15944
-154.965083333	29.5902666667
-153.511128333	27.7975816667
-152.32515	27.81595
-150.5136	31.4923833333
-141.481735	44.258565
-138.797506667	43.94699
-130.21075	45.2479666667
-130.443271667	47.048535
-129.730623333	46.6029383333
-129.822866667	46.5318183333
-129.512175	47.3673433333
-128.075326667	44.5510216667
-128.556656667	46.42692
-128.070673333	46.617915
-128.214641667	46.80036
-128.090816667	46.90894
-128.357398333	46.4057833333
-128.973958333	47.6277333333
-128.37	48.46
-127.294518333	45.932245
-127.694173333	45.32579
-127.185306667	46.6730033333
-127.233623333	46.1473366667
-127.994076667	46.5094966667
-127.168333333	47.8766666667
-127.627063333	47.5433816667
-127.167573333	48.4613683333
-127.828946667	48.4817433333
-126.536666667	43.6433333333
-126.406116667	46.1577716667
-126.825	46.2833333333
