48.40625,-124.10625
48.4104166667,-124.114583333
48.4145833333,-124.114583333
48.41875,-124.114583333
48.4229166667,-124.11875
48.4270833333,-124.139583333
48.43125,-124.185416667
48.4354166667,-124.189583333
48.4395833333,-124.20625
48.44375,-124.222916667
48.4479166667,-124.23125
48.4520833333,-124.28125
48.45625,-124.28125
48.4604166667,-124.285416667
48.4645833333,-124.289583333
48.46875,-124.310416667
48.4729166667,-124.327083333
48.4770833333,-124.33125
48.48125,-124.335416667
48.4854166667,-124.339583333
48.4895833333,-124.34375
48.49375,-124.347916667
48.4979166667,-124.352083333
48.5020833333,-124.364583333
48.50625,-124.36875
48.5104166667,-124.36875
48.5145833333,-124.397916667
48.51875,-124.447916667
48.5229166667,-124.460416667
48.5270833333,-124.48125
48.53125,-124.497916667
48.5354166667,-124.502083333
48.5395833333,-124.50625
48.54375,-124.539583333
48.5479166667,-124.552083333
48.5520833333,-124.56875
48.55625,-124.614583333
48.5604166667,-124.63125
48.5645833333,-124.65625
48.56875,-124.65625
48.5729166667,-124.685416667
48.5770833333,-124.702083333
48.58125,-124.714583333
48.5854166667,-124.739583333
48.5895833333,-124.772916667
48.59375,-124.789583333
48.5979166667,-124.79375
48.6020833333,-124.81875
48.60625,-124.81875
48.6104166667,-124.81875
48.6145833333,-124.81875
48.61875,-124.81875
48.6229166667,-124.81875
48.6270833333,-124.81875
48.63125,-124.81875
48.6354166667,-124.81875
48.6395833333,-124.81875
48.64375,-124.81875
48.6479166667,-124.81875
48.6520833333,-124.81875
48.65625,-124.81875
48.6604166667,-124.81875
48.6645833333,-124.81875
48.66875,-124.81875
48.6729166667,-124.81875
48.6770833333,-124.81875
48.68125,-124.81875
48.6854166667,-124.81875
48.6895833333,-124.81875
48.69375,-124.81875
48.69375,-124.060416667
48.69375,-124.05625
48.69375,-123.560416667
48.6895833333,-123.560416667
48.6854166667,-123.560416667
48.68125,-123.560416667
48.6770833333,-123.560416667
48.6729166667,-123.560416667
48.66875,-123.560416667
48.6645833333,-123.560416667
48.6604166667,-123.560416667
48.65625,-123.560416667
48.6520833333,-123.560416667
48.6479166667,-123.560416667
48.64375,-123.560416667
48.6395833333,-123.560416667
48.6354166667,-123.560416667
48.63125,-123.560416667
48.6270833333,-123.560416667
48.6229166667,-123.560416667
48.61875,-123.560416667
48.6145833333,-123.560416667
48.6104166667,-123.560416667
48.60625,-123.560416667
48.6020833333,-123.560416667
48.5979166667,-123.560416667
48.59375,-123.560416667
48.5895833333,-123.560416667
48.5854166667,-123.560416667
48.58125,-123.560416667
48.5770833333,-123.560416667
48.5729166667,-123.560416667
48.56875,-123.560416667
48.5645833333,-123.560416667
48.5604166667,-123.560416667
48.55625,-123.560416667
48.5520833333,-123.564583333
48.5479166667,-123.560416667
48.54375,-123.564583333
48.5395833333,-123.560416667
48.5354166667,-123.560416667
48.53125,-123.560416667
48.5270833333,-123.560416667
48.5229166667,-123.560416667
48.51875,-123.560416667
48.5145833333,-123.560416667
48.5104166667,-123.560416667
48.50625,-123.560416667
48.5020833333,-123.560416667
48.4979166667,-123.560416667
48.49375,-123.560416667
48.4895833333,-123.560416667
48.4854166667,-123.560416667
48.48125,-123.560416667
48.4770833333,-123.560416667
48.4729166667,-123.560416667
48.46875,-123.560416667
48.4645833333,-123.560416667
48.4604166667,-123.560416667
48.45625,-123.560416667
48.4520833333,-123.560416667
48.4479166667,-123.560416667
48.44375,-123.560416667
48.4395833333,-123.560416667
48.4354166667,-123.560416667
48.43125,-123.560416667
48.4270833333,-123.560416667
48.4229166667,-123.560416667
48.41875,-123.560416667
48.4145833333,-123.560416667
48.4104166667,-123.560416667
48.40625,-123.560416667
48.4020833333,-123.560416667
48.3979166667,-123.560416667
48.39375,-123.560416667
48.3895833333,-123.560416667
48.3854166667,-123.560416667
48.38125,-123.560416667
48.3770833333,-123.560416667
48.3729166667,-123.560416667
48.36875,-123.560416667
48.3645833333,-123.560416667
48.3604166667,-123.560416667
48.35625,-123.560416667
48.3520833333,-123.560416667
48.3479166667,-123.560416667
48.34375,-123.560416667
48.3395833333,-123.560416667
48.3354166667,-123.560416667
48.33125,-123.560416667
48.3270833333,-123.560416667
48.3229166667,-123.560416667
48.31875,-123.560416667
48.3145833333,-123.560416667
48.3104166667,-123.560416667
48.3104166667,-123.589583333
48.3145833333,-123.652083333
48.31875,-123.66875
48.3229166667,-123.677083333
48.3270833333,-123.68125
48.33125,-123.689583333
48.3354166667,-123.735416667
48.3395833333,-123.752083333
48.34375,-123.75625
48.3479166667,-123.764583333
48.3520833333,-123.777083333
48.35625,-123.822916667
48.3604166667,-123.827083333
48.3645833333,-123.852083333
48.36875,-123.86875
48.3729166667,-123.90625
48.3770833333,-123.935416667
48.38125,-123.952083333
48.3854166667,-123.977083333
48.3895833333,-123.989583333
48.39375,-124.027083333
48.3979166667,-124.05625
